"year","iso3c","country","region","rank","eci.value","gdp_real","gdp_nominal","population","gdpr_pc","gdpn_pc"
1998,"ven","Venezuela","MERCOSUR",51,0.244529,131572682.976031,91336763.2556157,23482.7,5602.96230740209,3889.53413600718
1998,"sau","Saudi Arabia","ARAB LEAGUE",54,0.208936,248473888.123216,145772731.586667,19282.965,12885.6681596018,7559.66375433793
1998,"tha","Thailand","ASEAN",57,0.156533,132398320.390257,113472860.302876,60903.042,2173.91966053612,1863.17229117843
1998,"chl","Chile","AP",58,0.113026,95142987.1056163,81681340.4013296,15072.409,6312.3941969473,5419.26246835059
1998,"lbn","Lebanon","ARAB LEAGUE",61,0.0734025,17993125.9374578,16910140.8298971,3114.014,5778.11337311194,5430.33551868974
1998,"tun","Tunisia","ARAB LEAGUE",63,-0.0323205,23549478.7374043,21802978.4750488,9347.451,2519.34765289535,2332.5052439482
1998,"are","United Arab Emirates","ARAB LEAGUE",64,-0.0353536,118792651.690101,75674390.6319946,2753.498,43142.4506900317,27483.0018514612
1998,"tto","Trinidad and Tobago","CARICOM",65,-0.0758274,9385167.649885,6043687.1334085,1262.544,7433.53708851731,4786.9120865558
1998,"pan","Panama","SICA",66,-0.140293,11733170.6502386,10932400,2933.1,4000.26274257223,3727.25103133204
1998,"idn","Indonesia","ASEAN",68,-0.205093,214579497.315077,104866011.737721,NA,NA,NA
1998,"pry","Paraguay","MERCOSUR",69,-0.23348,7047727.0106468,7915671.797806,5130.723,1373.63233420452,1542.79850964591
1998,"per","Peru","AP",71,-0.276451,62234743.9871998,56751543.6860068,25206.817,2468.96480373543,2251.43633509962
1998,"egy","Egypt","ARAB LEAGUE",72,-0.319533,70499815.6523939,87146298.1242621,64084.443,1100.10811285968,1359.86667035964
1998,"phl","Philippines","ASEAN",73,-0.328894,76520346.9365291,72206940.4790056,74393.147,1028.59403079869,970.612796888477
1998,"omn","Oman","ARAB LEAGUE",74,-0.349215,25556516.9163381,13929623.2245099,2171.135,11771.0399935232,6415.82546663837
1998,"mar","Morocco","ARAB LEAGUE",77,-0.538029,45712115.4762371,40021694.8818421,28013.585,1631.78384616739,1428.6530939129
1998,"cri","Costa Rica","SICA",78,-0.558168,14832355.0510402,14099606.3755782,3750.585,3954.6777505483,3759.30858134883
1998,"kwt","Kuwait","ARAB LEAGUE",80,-0.57009,53209802.7819394,25945377.0896578,1722.208,30896.2696619336,15065.1820742081
1998,"bol","Bolivia","CAN",82,-0.58026,7966694.339563,8497494.130995,8150.214,977.482841501217,1042.6099401801
1998,"cub","Cuba","OTROS LAC",85,-0.63829,29676063.6552142,25736600,11063.917,2682.23845634545,2326.17435579099
1998,"dom","Dominican Republic","SICA",91,-0.746364,24932816.8603853,20389796.6747653,8392.534,2970.83298803261,2429.51612406519
1998,"lby","Libya","ARAB LEAGUE",92,-0.751991,34133816.0413504,29896770.6493088,5009.24,6814.17062096254,5968.32466587922
1998,"jam","Jamaica","CARICOM",93,-0.810243,10228469.7656694,8742153.2147743,2534.127,4036.28932791032,3449.76917683064
1998,"qat","Qatar","ARAB LEAGUE",94,-0.818379,26704757.5324673,10255494.5054945,550.367,48521.7273791257,18633.919739909
1998,"ecu","Ecuador","CAN",97,-0.880659,33272961.7631513,26162498.59,12042.454,2762.9718795813,2172.52219439659
1998,"gtm","Guatemala","SICA",98,-0.884991,21725180.4951952,17289952.4902575,10691.09,2032.08283675427,1617.2300944298
1998,"syr","Syria","ARAB LEAGUE",102,-1.00661,22871985.4314533,17468375.6906077,15591.261,1466.97470021529,1120.3953093087
1998,"mrt","Mauritania","ARAB LEAGUE",104,-1.04511,1640070.0398417,1440825.3630996,2550.307,643.087298839591,564.961537218696
1998,"slv","El Salvador","SICA",105,-1.0526,14401619.7338749,12008400,5895.018,2443.01539603016,2037.04212608002
1998,"sdn","Sudan","ARAB LEAGUE",107,-1.09713,21530669.8119124,10924153.6112496,NA,NA,NA
1998,"hnd","Honduras","SICA",108,-1.11929,7491461.7876428,6278040.7658116,5980.152,1252.72096556121,1049.81290873737
1998,"khm","Cambodia","ASEAN",114,-1.22151,3308078.5444238,3130078.5225074,11685.332,283.096667208411,267.863893170292
1998,"nic","Nicaragua","SICA",117,-1.35024,4857195.0299737,4635347.5489475,4937.32,983.77156635051,938.83879289726
1998,"yem","Yemen","ARAB LEAGUE",118,-1.40893,13077008.6612897,7250960.8679586,16564.235,789.472538954543,437.748007557162
1999,"sgp","Singapore","ASEAN",15,1.45509,91111468.2640415,84879987.0989819,3822.625,23834.7910831017,22204.6334911172
1999,"mex","Mexico","AP",26,0.891567,758519599.327113,579459832.710931,102316.781,7413.44275996245,5663.389984004
1999,"bra","Brazil","MERCOSUR",28,0.69328,737113570.78355,587122065.743822,172006.362,4285.38550674975,3413.37412707922
1999,"ury","Uruguay","MERCOSUR",34,0.569064,17543679.0811566,23983931.9887471,3308.884,5301.99278099704,7248.34475573852
